id,run_id,name,vertical,town,postcode,address,website,domain,phone,google_place_id,rating,review_count,director_name,companies_house_number,is_group_owned,is_chain,chain_reason,priority,priority_score,created_at,top_pain_review
688,28,Al-Amin Electrical Contractor,electricians,East London,E15 2QW,"20, Peninsula Court, 2 Montford Pl, London E15 2QW",https://www.al-aminelectrical.co.uk/,al-aminelectrical.co.uk,020 7476 2153,ChIJP0qjZHKo2EcRv986_aUMZlI,4.9,525,"ARNOLD, Michael",02120699,0,0,,,,2026-08-21T05:51:53.206569+00:00,
689,28,Electrical Solutions 247 Ltd,electricians,East London,E1 2LX,"Flat 3, 117 Cannon St Rd, London E1 2LX",https://www.electricalsolutions247ltd.co.uk/,electricalsolutions247ltd.co.uk,07777 968288,ChIJSXii85EDdkgRFFUMtcUG2XM,5.0,319,"HASAN, Najmul",15329705,0,0,,,,2026-08-21T05:51:53.716106+00:00,
690,28,SCV Electrical Limited,electricians,East London,E1 3JJ,"46 Stepney Grn, Stepney Green, London E1 3JJ",https://scv-electrical.co.uk/,scv-electrical.co.uk,020 7123 8400,ChIJG1I25tUcdkgRizVRCH8IqJU,5.0,69,"GILBERT, David Alexander",08532353,0,0,,,,2026-08-21T05:51:54.318429+00:00,
691,28,Jema Electrical Ltd,electricians,East London,E5 8BD,"8 Station Parade, Upper Clapton Rd, London E5 8BD",http://www.jemaelectrical.com/,jemaelectrical.com,07479 937390,ChIJyYyItUwddkgRlKYrIDym1Us,5.0,175,"MATUBA, Jeremy",12787817,0,0,,,,2026-08-21T05:51:54.891649+00:00,
692,28,BESA Electrical Services LTD,electricians,East London,EC1V 2NX,"160 City Rd, London EC1V 2NX",https://besaelectricalservices.com/,besaelectricalservices.com,020 3633 8937,ChIJ8WVfIucddkgR7BvX9-pw8E8,5.0,343,"PEJA, Gjergji",13716531,0,0,,,,2026-08-21T05:51:55.577689+00:00,
693,28,Lloyd Hallowell Electrics,electricians,East London,E3 5NB,"Flat 61, Sandall House, Daling Way, Bow, London E3 5NB",https://www.lloydhallowellelectrics.co.uk/,lloydhallowellelectrics.co.uk,,ChIJL6qkLCMddkgRLXw4iiekFNw,4.9,215,"LLOYD, Samuel Richard",16896332,0,0,,,,2026-08-21T05:51:56.080735+00:00,
694,28,London Electrics Ltd,electricians,East London,IG4 5DD,"22 Margaret Way, London IG4 5DD",https://londonelectrics.ltd/,londonelectrics.ltd,07795 695656,ChIJ3SeU1TeW_wcRoi3CEV66mY0,5.0,293,"AMIN, Mohammad Al",12353382,0,0,,,,2026-08-21T05:51:56.691104+00:00,
695,28,Emergency Electricians Services London,electricians,East London,E15 2PP,"First Floor, 20b High Street, London E15 2PP",https://emergencyelectricianslondon.net/emergency-services/emergency-electrician-services-london/,emergencyelectricianslondon.net,020 3582 4553,ChIJ3Y5icUoNcQ0RhdM8v90QZ98,5.0,48,"CHOWDHURY, Md Azizur Rahman",14317913,0,1,same Companies House company number seen at 2 discovered locations,,,2026-08-21T05:51:57.398943+00:00,
696,28,East London Electrical,electricians,East London,RM7 9NL,"7 Lowlands Gardens, Romford RM7 9NL",http://www.eastlondonelectrical.com/,eastlondonelectrical.com,07976 507912,ChIJRbXKqOuk2EcRS89jnZjHPVQ,4.9,16,"RATCLIFFE, Terry Frank Patrick",09088982,0,1,same Companies House company number seen at 2 discovered locations,,,2026-08-21T05:51:57.908721+00:00,
697,28,AJ Electrical & Plumbing,electricians,East London,E6 3PW,"Lonsdale Ave, London E6 3PW",http://www.ajeps.co.uk/,ajeps.co.uk,020 8261 7330,ChIJy35Jr5Cn2EcRiUH3gVUH01U,4.8,74,"MCPARTLAND, Alexander",09530078,0,0,,,,2026-08-21T05:51:58.486614+00:00,
698,28,AC1 Electrical Services LTD - Electricians in London,electricians,East London,E14 9XL,"6, Beaufort Court, Admirals Way, Canary Wharf Estate, London E14 9XL",https://www.ac1electricalservices.com/electricians-in-london,ac1electricalservices.com,020 3150 1342,ChIJsdRr69YDdkgRjWw75qGxyLw,4.9,49,"RUMSEY, Tony",11581027,0,0,,,,2026-08-21T05:51:59.176574+00:00,
699,28,Hackney Plumber Electrician,electricians,East London,E5 9PS,"92 Southwold Rd, London E5 9PS",https://hackneyplumberelectrician.co.uk/,hackneyplumberelectrician.co.uk,07508 341843,ChIJC7uzww_yDqcRdUrgIdtd-iQ,5.0,125,,,0,0,,,,2026-08-21T05:51:59.414851+00:00,
700,28,Current Circuit - Electrician East London,electricians,East London,E9 7AE,"36 Poole Rd, London E9 7AE",https://currentcircuit.co.uk/,currentcircuit.co.uk,07598 287878,ChIJvcdz8amukGkRq3vbHuqQpJ4,5.0,21,"HOSSAIN, Md Aslam",16036353,0,1,same Companies House company number seen at 13 discovered locations,,,2026-08-21T05:51:59.965523+00:00,
701,28,ZJ Electrical Services,electricians,East London,E10 6BF,"38 Leyton Green Rd, London E10 6BF",https://zjelectricalservices.co.uk/,zjelectricalservices.co.uk,07407 028737,ChIJlXeUMtIddkgRsvJk330SLNg,5.0,85,"JASIULIS, Zilvinas",16199084,0,0,,,,2026-08-21T05:52:00.749747+00:00,
