firm_name,vertical,location,postcode,phone,email,website,review_count,avg_rating,review_target_score,opportunity_score,flags,company_number,director_name,years_trading,tps_checked,is_chain,chain_reason
The Cooling Company,air conditioning companies,North London,N19 4EF,020 7281 4542,,https://coolingcompany.co.uk/,7,4.6,75,10,has_negative_recent;missed_call_evidence;no_booking;no_chat;established,02478161,"PRIDAY, Beverley Jane",36,false,false,
London Air conditioning,air conditioning companies,North London,NW2 7FQ,07543 596232,,,2,5.0,40,15,no_booking;no_chat;phone_dependent;no_website,15914945,"JAMSHIDI, Movahed",1,false,false,
Weatherman Air Conditioning Ltd - Edgware - North London,air conditioning companies,North London,HA8 0BY,07971 277747,jas@weathermanaircon.co.uk,http://www.weathermanaircon.co.uk/,4,5.0,40,15,no_booking;no_chat;phone_dependent;established,05129486,"GOMES, Jasso Silvestre",22,false,false,
Gross Air Conditioning,air conditioning companies,North London,N4 1FL,020 3861 7000,,http://grossair.co.uk/,11,5.0,40,10,no_chat;phone_dependent;established,05951162,"GROSSKOPF, Mark Mordechai",19,false,false,
Aclima London Ltd,air conditioning companies,North London,NW4 4NJ,020 3962 2229,info@aclimalondon.co.uk,http://www.aclimalondon.com/,34,5.0,20,10,no_booking;no_chat;established,14815258,"PERETS, Mordekhay",3,false,false,
"J Sons & Co UK | Air conditioning Installation, Repair & Maintenance, Electrical & Plumbing, Handyman, Fit out & Renovation",air conditioning companies,North London,HA9 8PB,020 8050 7969,info@jsonsco.com,http://www.jsonsco.com/,54,5.0,10,15,no_booking;no_chat;phone_dependent,,,,false,false,
NORTH LONDON HOME SERVICES,air conditioning companies,North London,N1 9SX,07304 066498,,,62,5.0,10,15,no_booking;no_chat;phone_dependent;no_website;established,12703681,"GOLA, Amardeep Singh",6,false,false,
Quantech North London Air Conditioning Installation Services,air conditioning companies,North London,,,,https://quantechaircon.co.uk/north-london-air-conditioning-installation-services/,,,10,15,weak_gbp;no_booking;no_chat;phone_dependent,17203544,"EDWARDS, Ken William",0,false,false,
KGR Air Conditioning,air conditioning companies,North London,N21 2RS,020 8016 3648,,http://www.abcaircon.com/,63,4.7,10,10,no_booking;no_chat,,,,false,false,
Prime Air AC Ltd,air conditioning companies,North London,WD18 8XU,020 3941 9494,info@primeairac.co.uk,http://www.primeairac.co.uk/,75,5.0,10,10,no_booking;no_chat;established,06048659,"MILITARU, Razvan Constantin, Mr.",19,false,false,
Aircon North London,air conditioning companies,North London,,,hello@airconnorthlondon.com,https://airconnorthlondon.com/,,,10,10,weak_gbp;no_booking;no_chat,15980524,"COHEN, Yoel",1,false,false,
Expert HVAC Installation Services In London,air conditioning companies,North London,,,info@cooperweston.co.uk,https://cooperweston.co.uk/hvac-installation/london/,,,10,10,weak_gbp;no_booking;phone_dependent;established,14551969,"MAKANJUOLA, Olawale",3,false,false,
Atmosfair Air Conditioning,air conditioning companies,North London,WD6 2BW,020 3026 0267,info@atmosfair.co.uk,https://www.atmosfair.co.uk/,90,5.0,10,5,no_chat;established,12817499,"BLOND, Emma Louise",6,false,false,
Heatpumps London,air conditioning companies,North London,NW7 1BA,020 8346 8000,hello@heatpumps.london,https://www.heatpumps.london/,126,5.0,0,10,no_chat;phone_dependent,,,,false,false,
AAC Air Conditioning,air conditioning companies,North London,SG4 0SA,01707 325566,info@aacteam.co.uk,https://aacairconditioning.co.uk/?utm_source=google&utm_medium=local,613,5.0,0,10,no_booking;no_chat,,,,false,false,
