firm_name,vertical,location,postcode,phone,email,website,review_count,avg_rating,review_target_score,opportunity_score,flags,company_number,director_name,years_trading,tps_checked,is_chain,chain_reason
A C R London,air conditioning companies,East London,DA16 1TB,020 8331 5603,,https://acrlondon.co.uk/,4,4.0,90,15,has_negative_recent;no_booking;no_chat;phone_dependent;established,04097241,"BROWN, Peter Michael",25,false,false,
Apex Airconditioning services,air conditioning companies,East London,DA2 6NP,07383 978970,Olly@apexac.co.UK,http://apexac.co.uk/,19,4.7,75,10,has_negative_recent;missed_call_evidence;no_booking;phone_dependent;established,12444859,"HUGHES, Oliver John",6,false,false,
Aircon Worldwide Ltd,air conditioning companies,East London,E3 2NX,020 3005 7301,,http://www.airconworldwide.com/,1,1.0,75,10,has_negative_recent;no_booking;no_chat;established,06008319,"NOEST, Tim Peter",19,false,false,
PHS Engineers Ltd | LONDON,air conditioning companies,East London,IG8 8AP,020 8252 8927,,https://phsengineersltd.co.uk/,100,3.9,75,10,has_negative_recent;missed_call_evidence;no_booking;no_chat;established,07740170,"WILLIS, Adam",15,false,false,
Al Bilal Air Conditioning Ltd,air conditioning companies,East London,IG5 0QF,07464 050459,info@albilalaircon.co.uk,https://www.albilalaircon.co.uk/,35,4.6,55,10,has_negative_recent;missed_call_evidence;no_booking;no_chat;established,08234269,"SULTANA, Qamar",13,false,false,
Essex Air Contracts Ltd,air conditioning companies,East London,E17 3NU,07532 756044,info@essexaircontracts.co.uk,https://www.essexaircontracts.co.uk/,9,5.0,40,15,no_booking;no_chat;phone_dependent,17047659,"TEALE, Jamie Alan",0,false,false,
Near Me Air Conditioning,air conditioning companies,East London,SE9 6AJ,07899 010793,,,9,5.0,40,15,no_booking;no_chat;phone_dependent;no_website;established,09494633,"ARCHER, Andrew Mark",11,false,false,
"Exilon - Heating, Ventilation & Air Conditioning",air conditioning companies,East London,RM13 8JD,0800 043 0844,,,15,5.0,40,15,no_booking;no_chat;phone_dependent;no_website;established,13238773,"MAY, Adam James William",5,false,false,
Brentwood Air conditioning a/c engineers,air conditioning companies,East London,CM15 0PG,07989 302679,acemaintenance865@gmail.com,http://www.airconditionbrentwood.co.uk/,19,4.8,40,15,no_booking;no_chat;phone_dependent;established,09032533,"DALLANEGRA, Charlie Steven",12,false,false,
Essex Frost,air conditioning companies,East London,RM7 7LH,0330 390 3727,info@essexfrost.co.uk,https://www.essexfrost.co.uk/,13,5.0,40,15,no_booking;no_chat;phone_dependent,16343112,"AKHAVI, Ali Reza",1,false,false,
Gas Engineers,air conditioning companies,East London,E15 4QS,020 3667 9944,,https://stratfordgasengineers.co.uk/,,,40,15,no_booking;no_chat;phone_dependent;established,10694818,"SINGH, Hardev",9,false,false,
Sensible Cooling Limited,air conditioning companies,East London,RM7 7AX,07880 553016,lee@sensiblecooling.co.uk,http://www.sensiblecooling.co.uk/,18,5.0,40,10,no_booking;no_chat;established,11864160,"RAMSEY, Lee",7,false,false,
Abel Air Conditioning,air conditioning companies,East London,DA16 3LB,07908 136432,,https://abelairconditioning.co.uk/,4,5.0,40,10,no_booking;no_chat;established,09051102,"BURROWS, Michael Paul",12,false,false,
R PERKINS & SONS,air conditioning companies,East London,EC1A 9PS,020 7329 4612,info@rperkins.co.uk>info@rperkins.co.uk</a></li>,http://www.rperkins.co.uk/,8,4.5,40,10,no_booking;no_chat,,,,false,false,
Claremore Mechanical Services Ltd,air conditioning companies,East London,E6 1HB,020 8552 5124,,http://www.claremore.co.uk/,4,5.0,40,10,no_booking;no_chat;established,01147315,"PYKERMAN, Gavin",52,false,false,
Ray refrigeration & Air Conditioning repairs,air conditioning companies,East London,SE18 6SW,020 3925 8911,services@rayrefrigerationandaircon.co.uk,http://www.rayrefrigeration.co.uk/,41,4.8,20,15,no_booking;no_chat;phone_dependent;established,14124876,"DJEMAOUNE, Rafik",4,false,false,
Sky Air Conditioning Limited,air conditioning companies,East London,IG10 1EQ,020 8508 6970,info@skyairconditioning.co.uk,http://www.skyairconditioning.co.uk/,46,4.9,20,10,no_booking;no_chat;established,05483713,"WIMPRESS, Matthew",21,false,false,
GasWorx Cooling and Heating Limited,air conditioning companies,East London,E17 5AJ,07930 342612,Gasworxltd@gmail.com,https://www.gasworxltd.co.uk/,24,4.8,20,10,no_chat;phone_dependent;established,14359866,"MUGHAL, Shamona",3,false,false,
Ada Mechanical Limited,air conditioning companies,East London,IG8 8AL,020 8103 3940,jake@adhs.ltd,https://adamechanical.co.uk/,23,5.0,20,10,no_booking;no_chat;established,11311399,"CLEMENTS, Jake",8,false,false,
Hymas Refrigeration & Catering Ltd,air conditioning companies,East London,E10 7QB,020 8539 4222,,http://www.hymasrefrigeration-london.co.uk/,33,5.0,20,10,no_booking;no_chat;established,02509528,"REKIA, Paul Anthony",36,false,false,
Ghir Electrical Supplies Ltd,air conditioning companies,East London,E6 2SA,020 8471 9737,info@ghirelectrical.co.uk,http://www.ghirelectrical.co.uk/,46,4.3,20,5,no_chat;established,02217895,"GHIR, Gurdeep Singh",38,false,false,
Albo Plumbing & Heating,air conditioning companies,East London,E7 9PA,020 3051 8064,contact@alboplumbing.co.uk,https://alboplumbing.co.uk/,46,4.8,20,0,established,13593355,"UKA, Xhezair",4,false,false,
The Underfloor Heating Repair Company London,air conditioning companies,East London,N15 4QQ,07702 593181,,https://www.underfloor-heating-company.com/engineers/,77,4.3,10,15,no_booking;no_chat;phone_dependent,15510970,"MCCORMACK, Paul Gerard",2,false,false,
Capital HIU Engineers Limited,air conditioning companies,East London,E13 9PJ,020 3811 8420,info@capital-hiu-engineers.co.uk,http://www.capital-hiu-engineers.co.uk/,63,4.9,10,10,no_chat;phone_dependent;established,13563833,"RUDENKO, Mefodi",5,false,false,
"Air Conditioning Installation in Bromley, South East London ...",air conditioning companies,East London,,,,https://bromleyenergy.co.uk/air-conditioning-bromley/,,,10,10,weak_gbp;no_booking;phone_dependent;established,09712767,"BEAL, Nicholas Alexander, Mr.",11,false,false,
Al Noor PHB Services Ltd,air conditioning companies,East London,E13 8EE,020 3948 6022,,http://www.alnoorphbservices.co.uk/,105,4.9,0,15,no_booking;no_chat;phone_dependent,16552824,"AHMED, Hashim Addul Galil",1,false,false,
Henri-Taylor Heating and Air Conditioning Solutions LTD,air conditioning companies,East London,DA15 7AJ,020 3722 5095,info@henri-taylor.co.uk,http://www.henri-taylor.co.uk/,134,5.0,0,5,no_chat;established,11801508,"BARRS, Lewis James",7,false,false,
Plumbing Plumbers ltd,air conditioning companies,East London,IG3 9PB,07908 077902,,http://www.plumb.london/,118,4.9,0,5,no_chat;established,09256306,"AHMED, Sabbir",11,false,false,
RapidHeat247,air conditioning companies,East London,E5 9QD,07888 078885,info@rapidheat247.co.uk,http://www.rapidheat247.co.uk/,256,4.9,0,0,,,,,false,false,
