firm_name,vertical,location,postcode,phone,email,website,review_count,avg_rating,review_target_score,opportunity_score,flags,company_number,director_name,years_trading,tps_checked,is_chain,chain_reason
Greenwood Airvac,hvac,"Camberley, Surrey",GU15 3AD,01276 408404,info@greenwood.co.uk,http://www.greenwood.co.uk/,4,4.0,90,10,has_negative_recent;no_booking;no_chat,,,,false,false,
Smart Plumb & Heat Ltd,hvac,"Camberley, Surrey",GU15 3SZ,07595 230287,sandy@smartph.co.uk,http://www.smartplumbandheat.co.uk/,5,5.0,40,15,no_booking;no_chat;phone_dependent,16535978,"KALSI, Sandeep Singh",1,false,false,
A.C.A Plumbing & Heating,hvac,"Camberley, Surrey",GU16 6LZ,07811 351097,,https://www.acaplumbingandheating.co.uk/,4,5.0,40,15,no_booking;no_chat;phone_dependent,,,,false,false,
R.S.Services,hvac,"Camberley, Surrey",GU15 3TB,07827 334074,enquiries@r-s-services.co.uk,http://www.r-s-services.co.uk/,2,5.0,40,10,no_booking;no_chat,SC800115,"GILMORE, Rory Stephen",2,false,false,
Wallis Moore Plumbing & Heating,hvac,"Camberley, Surrey",GU15 3TA,07540 429750,,http://www.wallismoore.co.uk/,18,5.0,40,10,no_booking;no_chat;established,07623170,"WALLIS, Matthew Peter",15,false,false,
A D G Systems PLC,hvac,"Camberley, Surrey",GU15 3YL,01276 676717,admin@adgsystems.co.uk,http://www.adgsystems.co.uk/,,,40,10,no_booking;no_chat;established,02530874,"GOODMAN, Alan David",36,false,false,
ALP Heating Ltd,hvac,"Camberley, Surrey",GU15 2QT,01276 905203,info@alpheating.co.uk,https://www.alpheating.co.uk/,24,5.0,20,5,no_chat;established,13493540,"AVCI, Erkan",5,false,false,
Precision Plumbing & Air Conditioning LTD,hvac,"Camberley, Surrey",GU15 2BH,020 3815 2815,info@precision-plumbers.co.uk,https://www.precision-plumbers.co.uk/,20,5.0,20,5,no_chat;established,14838530,"WHITE, Joshua Callum",3,false,false,
ProAir │ Climate Control,hvac,"Camberley, Surrey",GU47 8DY,07833 679777,&#101;m&#097;i&#108;&#064;p&#114;oair&#117;&#107;.&#099;&#111;&#046;&#117;k,http://www.proairuk.co.uk/,69,4.8,10,15,no_booking;no_chat;phone_dependent;established,04764529,"MCGUINNESS, Kay Juliet",23,false,false,
Therm Heat Ltd,hvac,"Camberley, Surrey",GU15 3SY,01252 308314,,http://www.thermheat.co.uk/,110,4.9,0,15,no_booking;no_chat;phone_dependent;established,08595275,"DARKER, Steven",13,false,false,
Air Intelligence Ltd,hvac,"Camberley, Surrey",SL6 9NZ,01628 947937,,https://www.airintelligence.co.uk/,160,5.0,0,10,no_booking;no_chat;established,07977359,"HARRIS, Mark Victor",14,false,false,
Bracknell Plumbing & Heating,hvac,"Camberley, Surrey",RG45 7AQ,01344 851023,,http://www.bracknellplumbing.co.uk/,151,4.9,0,5,no_chat;established,OC369043,,14,false,false,
